dt,temp_median,temp_min,temp_max,humidity_median,humidity_min,humidity_max,precipitation_median,precipitation_min,precipitation_max,wind_speed_median,wind_speed_min,wind_speed_max,monthly_temp_avg,monthly_humidity_avg,monthly_precipitation_avg,precipitation_type,precipitation_monthly_mode,wind_strength
2022-01-01,274.15,262.46,278.05,93.0,63,100,0,0,0.9,3.1,0.0,6.7,271.41096774193545,91.79032258064517,0.0,light,light,Gentle Breeze
2022-01-02,272.87,261.15,278.96,93.0,49,100,0,0,3.0,3.6,0.5,8.7,271.41096774193545,91.79032258064517,0.0,medium,light,Moderate Breeze
2022-01-03,273.2,259.15,278.79,92.0,43,100,0,0,0.9,3.09,0.5,10.3,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-04,273.45,256.15,276.9,91.0,53,100,0,0,0.9,4.1,1.0,9.3,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-05,269.15,252.15,277.05,92.0,50,100,0,0,0.9,2.6,0.5,6.7,271.41096774193545,91.79032258064517,0.0,light,light,Gentle Breeze
2022-01-06,269.22,248.65,276.78,92.0,63,100,0,0,0.9,2.7,0.5,5.7,271.41096774193545,91.79032258064517,0.0,light,light,Gentle Breeze
2022-01-07,271.15,245.15,278.35,92.0,55,100,0,0,0.9,3.6,0.5,12.3,271.41096774193545,91.79032258064517,0.0,light,light,Fresh Breeze
2022-01-08,272.15,251.15,279.9,93.0,49,100,0,0,0.9,3.1,0.5,10.3,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-09,272.15,253.15,278.15,93.0,74,100,0,0,0.3,2.6,0.5,7.72,271.41096774193545,91.79032258064517,0.0,light,light,Gentle Breeze
2022-01-10,270.03,252.15,276.15,93.0,32,100,0,0,0.9,3.09,0.35,7.7,271.41096774193545,91.79032258064517,0.0,light,light,Gentle Breeze
2022-01-11,270.65,254.74,277.21,92.0,59,100,0,0,0.9,4.76,0.5,9.77,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-12,271.15,260.1,278.77,92.0,71,100,0,0,3.0,4.63,0.5,10.3,271.41096774193545,91.79032258064517,0.0,medium,light,Moderate Breeze
2022-01-13,272.15,254.87,279.96,91.0,65,100,0,0,0.9,3.11,0.0,9.26,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-14,271.15,252.15,277.79,87.5,64,100,0,0,0.9,3.1,0.5,9.8,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-15,270.12,248.15,280.79,87.0,60,100,0,0,0.9,3.28,0.5,8.7,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-16,269.09,253.15,278.36,87.0,57,100,0,0,0.9,3.6,0.5,10.29,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-17,271.07,255.15,278.79,92.0,64,100,0,0,0.3,3.66,0.5,9.3,271.41096774193545,91.79032258064517,0.0,light,light,Moderate Breeze
2022-01-18,271.34,257.15,278.79,92.0,68,100,0,0,0.3,3.06,0.5,5.7,271.41096774193545,91.79032258064517,0.0,light,light,Gentle Breeze
